transaction_id,investor_id,investor_name,state,kyc_status,scheme_code,scheme_name,transaction_type,transaction_date,amount,units
TX0000001,INV00001,Investor_1,Karnataka,KYC_VERIFIED,120503,ICICI Bluechip Direct,Lumpsum,2023-05-23,368499.14,3390.2473
TX0000002,INV00001,Investor_1,Karnataka,KYC_VERIFIED,119092,Axis Bluechip Direct,sip,2023-01-31,500.0,4.8707
TX0000003,INV00001,Investor_1,Karnataka,KYC_VERIFIED,120503,ICICI Bluechip Direct,redemption,2024-03-05,11411.81,113.3813
TX0000004,INV00002,Investor_2,Delhi,KYC_VERIFIED,118632,Nippon India Large Cap Direct,Sip,2023-08-09,2000.0,14.7169
TX0000005,INV00002,Investor_2,Delhi,KYC_VERIFIED,118632,Nippon India Large Cap Direct,Purchase,2023-09-28,403757.01,2046.2915
TX0000006,INV00002,Investor_2,Delhi,KYC_VERIFIED,119092,Axis Bluechip Direct,SIP,2023-10-28,10000.0,83.8723
TX0000007,INV00003,Investor_3,Karnataka,KYC_VERIFIED,118632,Nippon India Large Cap Direct,SIP,2023-08-27,500.0,2.7261
TX0000008,INV00003,Investor_3,Karnataka,KYC_VERIFIED,120503,ICICI Bluechip Direct,LUMPSUM,2023-12-30,105544.01,640.4232
TX0000009,INV00004,Investor_4,Kerala,KYC_VERIFIED,125497,HDFC Top 100 Direct,Lumpsum,2023-06-17,231667.85,1372.3082
TX0000010,INV00004,Investor_4,Kerala,KYC_VERIFIED,120503,ICICI Bluechip Direct,LUMPSUM,2023-02-27,115294.99,909.4523
TX0000011,INV00004,Investor_4,Kerala,KYC_VERIFIED,120503,ICICI Bluechip Direct,Purchase,2023-11-19,107100.65,651.9191
TX0000012,INV00004,Investor_4,Kerala,KYC_VERIFIED,120503,ICICI Bluechip Direct,lumpsum,2023-05-23,124067.13,782.9624
TX0000013,INV00004,Investor_4,Kerala,KYC_VERIFIED,120841,Kotak Bluechip Direct,Redemption,2024-01-06,11356.38,104.1001
TX0000014,INV00005,Investor_5,Maharashtra,KYC_PENDING,125497,HDFC Top 100 Direct,Sip,2024-03-08,10000.0,50.0972
TX0000015,INV00005,Investor_5,Maharashtra,KYC_PENDING,120841,Kotak Bluechip Direct,lumpsum,2023-01-12,340461.42,1944.5185
TX0000016,INV00006,Investor_6,Telangana,KYC_VERIFIED,120503,ICICI Bluechip Direct,REDEMPTION,2023-01-04,47713.89,317.9684
TX0000017,INV00006,Investor_6,Telangana,KYC_VERIFIED,120503,ICICI Bluechip Direct,redemption,2023-04-19,43590.67,270.9228
TX0000018,INV00006,Investor_6,Telangana,KYC_VERIFIED,120503,ICICI Bluechip Direct,LUMPSUM,2023-06-15,270150.14,2699.9573
TX0000019,INV00006,Investor_6,Telangana,KYC_VERIFIED,118632,Nippon India Large Cap Direct,REDEMPTION,2023-01-20,6037.45,33.4156
TX0000020,INV00007,Investor_7,Tamil Nadu,KYC_VERIFIED,119551,SBI Bluechip Direct,SIP,2024-05-12,500.0,4.4414
TX0000021,INV00007,Investor_7,Tamil Nadu,KYC_VERIFIED,125497,HDFC Top 100 Direct,REDEMPTION,2023-06-19,13620.3,112.3974
TX0000022,INV00007,Investor_7,Tamil Nadu,KYC_VERIFIED,120841,Kotak Bluechip Direct,Lumpsum,2023-11-16,200097.16,1053.3569
TX0000023,INV00007,Investor_7,Tamil Nadu,KYC_VERIFIED,119092,Axis Bluechip Direct,SIP,2023-09-11,1000.0,6.4353
TX0000024,INV00007,Investor_7,Tamil Nadu,KYC_VERIFIED,120841,Kotak Bluechip Direct,Lumpsum,2023-01-08,36425.55,191.1681
TX0000025,INV00008,Investor_8,Telangana,KYC_VERIFIED,118632,Nippon India Large Cap Direct,REDEMPTION,2023-08-08,27192.08,172.5154
TX0000026,INV00008,Investor_8,Telangana,KYC_VERIFIED,120503,ICICI Bluechip Direct,REDEMPTION,2024-02-21,9925.29,69.7207
TX0000027,INV00009,Investor_9,West Bengal,KYC_PENDING,125497,HDFC Top 100 Direct,SIP,2023-03-04,5000.0,45.0747
TX0000028,INV00010,Investor_10,Tamil Nadu,KYC_VERIFIED,120503,ICICI Bluechip Direct,Redemption,2023-07-07,14287.98,99.0068
TX0000029,INV00010,Investor_10,Tamil Nadu,KYC_VERIFIED,120841,Kotak Bluechip Direct,SIP,2023-02-21,10000.0,51.9112
TX0000030,INV00010,Investor_10,Tamil Nadu,KYC_VERIFIED,120503,ICICI Bluechip Direct,Sip,2024-02-21,5000.0,26.282
TX0000031,INV00010,Investor_10,Tamil Nadu,KYC_VERIFIED,120503,ICICI Bluechip Direct,Redemption,2023-01-03,49272.79,338.6427
TX0000032,INV00011,Investor_11,Rajasthan,KYC_VERIFIED,120841,Kotak Bluechip Direct,REDEMPTION,2023-06-08,9899.94,57.0359
TX0000033,INV00011,Investor_11,Rajasthan,KYC_VERIFIED,119551,SBI Bluechip Direct,LUMPSUM,2023-02-28,26021.03,169.947
TX0000034,INV00011,Investor_11,Rajasthan,KYC_VERIFIED,119551,SBI Bluechip Direct,redemption,2023-03-24,42641.46,229.0312
TX0000035,INV00011,Investor_11,Rajasthan,KYC_VERIFIED,119092,Axis Bluechip Direct,SIP,2023-09-10,10000.0,70.461
TX0000036,INV00011,Investor_11,Rajasthan,KYC_VERIFIED,120841,Kotak Bluechip Direct,Purchase,2024-06-19,158868.55,1208.8761
TX0000037,INV00011,Investor_11,Rajasthan,KYC_VERIFIED,118632,Nippon India Large Cap Direct,Redemption,2023-05-15,33748.67,192.6443
TX0000038,INV00012,Investor_12,Karnataka,KYC_VERIFIED,120841,Kotak Bluechip Direct,SIP,2023-03-17,10000.0,51.7261
TX0000039,INV00012,Investor_12,Karnataka,KYC_VERIFIED,119551,SBI Bluechip Direct,Lumpsum,2024-01-14,143208.71,1099.4766
TX0000040,INV00012,Investor_12,Karnataka,KYC_VERIFIED,125497,HDFC Top 100 Direct,redemption,2023-01-09,33559.23,304.0924
TX0000041,INV00012,Investor_12,Karnataka,KYC_VERIFIED,120503,ICICI Bluechip Direct,lumpsum,2023-04-29,444966.64,3471.5386
TX0000042,INV00012,Investor_12,Karnataka,KYC_VERIFIED,120503,ICICI Bluechip Direct,LUMPSUM,2023-07-28,344061.07,2750.0218
TX0000043,INV00013,Investor_13,Maharashtra,KYC_VERIFIED,118632,Nippon India Large Cap Direct,sip,2023-01-04,2000.0,15.8484
TX0000044,INV00013,Investor_13,Maharashtra,KYC_VERIFIED,125497,HDFC Top 100 Direct,REDEMPTION,2024-03-13,28264.89,167.147
TX0000045,INV00013,Investor_13,Maharashtra,KYC_VERIFIED,120503,ICICI Bluechip Direct,redemption,2023-02-06,41812.45,370.86
TX0000046,INV00013,Investor_13,Maharashtra,KYC_VERIFIED,118632,Nippon India Large Cap Direct,LUMPSUM,2023-02-10,449563.39,4076.5868
TX0000047,INV00014,Investor_14,Uttar Pradesh,KYC_PENDING,120841,Kotak Bluechip Direct,Sip,2023-08-31,1000.0,5.3151
TX0000048,INV00014,Investor_14,Uttar Pradesh,KYC_PENDING,119551,SBI Bluechip Direct,Sip,2023-12-07,5000.0,27.6129
TX0000049,INV00014,Investor_14,Uttar Pradesh,KYC_PENDING,118632,Nippon India Large Cap Direct,Sip,2023-04-21,5000.0,40.902
TX0000050,INV00014,Investor_14,Uttar Pradesh,KYC_PENDING,119092,Axis Bluechip Direct,LUMPSUM,2023-11-09,410447.65,2472.5268
TX0000051,INV00015,Investor_15,Rajasthan,KYC_VERIFIED,118632,Nippon India Large Cap Direct,LUMPSUM,2024-06-05,200439.51,1033.5998
TX0000052,INV00016,Investor_16,Karnataka,KYC_PENDING,120503,ICICI Bluechip Direct,Purchase,2023-09-29,20090.34,112.4609
TX0000053,INV00016,Investor_16,Karnataka,KYC_PENDING,119092,Axis Bluechip Direct,Purchase,2024-06-07,58707.25,562.1219
TX0000054,INV00016,Investor_16,Karnataka,KYC_PENDING,119092,Axis Bluechip Direct,sip,2024-06-16,10000.0,57.5693
TX0000055,INV00017,Investor_17,Tamil Nadu,KYC_VERIFIED,125497,HDFC Top 100 Direct,LUMPSUM,2023-11-18,332030.35,2203.0747
TX0000056,INV00018,Investor_18,Rajasthan,KYC_VERIFIED,118632,Nippon India Large Cap Direct,redemption,2023-05-11,9996.08,57.1814
TX0000057,INV00018,Investor_18,Rajasthan,KYC_VERIFIED,120503,ICICI Bluechip Direct,Purchase,2023-11-05,203631.51,1682.651
TX0000058,INV00018,Investor_18,Rajasthan,KYC_VERIFIED,120841,Kotak Bluechip Direct,Purchase,2023-11-26,233029.11,1581.8035
TX0000059,INV00018,Investor_18,Rajasthan,KYC_VERIFIED,125497,HDFC Top 100 Direct,Sip,2023-03-28,2000.0,14.9792
TX0000060,INV00018,Investor_18,Rajasthan,KYC_VERIFIED,120503,ICICI Bluechip Direct,lumpsum,2023-08-19,403474.88,2033.7091
TX0000061,INV00018,Investor_18,Rajasthan,KYC_VERIFIED,120841,Kotak Bluechip Direct,SIP,2024-04-11,5000.0,29.0978
TX0000062,INV00019,Investor_19,Rajasthan,KYC_VERIFIED,120503,ICICI Bluechip Direct,sip,2023-04-20,5000.0,29.4827
TX0000063,INV00019,Investor_19,Rajasthan,KYC_VERIFIED,119092,Axis Bluechip Direct,sip,2023-09-13,500.0,2.9984
TX0000064,INV00020,Investor_20,Uttar Pradesh,KYC_VERIFIED,120841,Kotak Bluechip Direct,redemption,2024-03-12,41613.17,238.6548
TX0000065,INV00020,Investor_20,Uttar Pradesh,KYC_VERIFIED,119092,Axis Bluechip Direct,REDEMPTION,2023-09-23,37712.95,212.1476
TX0000066,INV00020,Investor_20,Uttar Pradesh,KYC_VERIFIED,119092,Axis Bluechip Direct,Lumpsum,2023-10-09,220496.42,1650.6107
TX0000067,INV00020,Investor_20,Uttar Pradesh,KYC_VERIFIED,120841,Kotak Bluechip Direct,SIP,2023-05-22,1000.0,5.8602
TX0000068,INV00021,Investor_21,Karnataka,KYC_VERIFIED,120841,Kotak Bluechip Direct,REDEMPTION,2024-03-01,3582.15,20.2405
TX0000069,INV00021,Investor_21,Karnataka,KYC_VERIFIED,125497,HDFC Top 100 Direct,sip,2024-01-25,-5000.0,0.0
TX0000070,INV00021,Investor_21,Karnataka,KYC_VERIFIED,119092,Axis Bluechip Direct,Redemption,2023-08-14,24667.36,177.609
TX0000071,INV00022,Investor_22,Rajasthan,KYC_VERIFIED,120503,ICICI Bluechip Direct,Purchase,2024-06-30,14456.26,140.748
TX0000072,INV00022,Investor_22,Rajasthan,KYC_VERIFIED,125497,HDFC Top 100 Direct,Redemption,2023-05-19,43409.14,327.0355
TX0000073,INV00022,Investor_22,Rajasthan,KYC_VERIFIED,119092,Axis Bluechip Direct,LUMPSUM,2023-12-12,380853.62,2078.9812
TX0000074,INV00022,Investor_22,Rajasthan,KYC_VERIFIED,118632,Nippon India Large Cap Direct,SIP,2024-04-26,500.0,2.5616
